NumQuestion;Question;Proposition1;Proposition2;Proposition3;Proposition3
q1;Qu'est-ce que l'inclusion sociale ?;Exclusion de certaines personnes;Intégration de toutes les personnes, quelles que soient leurs différences;Politique de promotion des seuls talents;Proposition2
q2;"Que signifie le terme ""handicap invisible"" ?";Un handicap qui n'est pas visible physiquement;Un handicap qui est guéri;Un handicap temporaire;Proposition1
q3;Quel est l'objectif principal de la diversité et de l'inclusion en milieu de travail ?;Créer un environnement de travail plus équitable et accueillant pour tous;Réduire les coûts;Augmenter les profits;Proposition1
q4;Laquelle de ces lois vise à protéger les personnes contre la discrimination au travail ?;Loi sur l'égalité salariale;Loi sur les accidents du travail;Loi sur la discrimination à l'emploi;Proposition3
q5;Quel est l'objectif de la loi sur l'accessibilité pour les personnes handicapées ?;Assurer que les lieux publics et les lieux de travail soient accessibles à tous;Fournir des emplois aux personnes handicapées;Offrir des formations spécifiques;Proposition1
q6;Pourquoi est-il important de comprendre les différentes cultures au sein d'une équipe ?;Pour pouvoir juger les autres cultures;Pour favoriser une meilleure collaboration et éviter les malentendus;Pour imposer ses propres valeurs;Proposition2
q7;"Que signifie le terme ""micro-agression"" ?";Une agression physique mineure;Une plaisanterie inoffensive;Une petite remarque ou action qui peut être perçue comme discriminatoire;Proposition3
q8;Comment un manager peut-il promouvoir l'inclusion dans son équipe ?;Reconnaître et valoriser les différences individuelles;Ignorer les différences et traiter tout le monde de la même manière;Se concentrer uniquement sur les performances;Proposition1
q9;"Qu'est-ce que le concept de ""biais inconscient"" ?";Préjugés conscients envers certaines personnes;Préjugés implicites qui influencent nos décisions et comportements sans que nous en soyons conscients;Absence totale de préjugés;Proposition2
q10;Quel est un exemple de mesure d'accessibilité dans un bureau ?;Fournir des chaises confortables;Installer des rampes et des ascenseurs pour les personnes en fauteuil roulant;Avoir une cuisine bien équipée;Proposition2
q11;Pourquoi est-il important de rendre les documents accessibles ?;Pour s'assurer que toutes les personnes, y compris celles ayant des déficiences visuelles, puissent les lire;Pour respecter la législation;Pour économiser du papier;Proposition1
q12;Qu'est-ce que l'accessibilité numérique ?;Réduction des coûts des appareils numériques;Accès à Internet pour tout le monde;Conception de produits et services numériques qui peuvent être utilisés par toutes les personnes;Proposition3
q13;Quelle fonctionnalité peut aider à rendre un site web plus accessible ?;Rendre le site plus complexe;Utiliser des couleurs vives uniquement;Inclure des descriptions textuelles pour les images;Proposition3
q14;"Que signifie ""flexibilité des horaires"" dans un contexte inclusif ?";Permettre aux employés de choisir leurs heures de travail en fonction de leurs besoins personnels;Imposer des horaires stricts;Réduire les heures de travail;Proposition1
q15;Comment peut-on soutenir un collègue ayant un trouble de l'apprentissage ?;En fournissant des instructions claires et structurées;En évitant de lui donner des tâches complexes;En faisant son travail à sa place;Proposition1
q16;Quelle est une pratique de communication inclusive ?;Parler rapidement pour gagner du temps;Utiliser un langage clair et simple;Éviter les interactions verbales;Proposition2
q17;Comment peut-on améliorer la communication inclusive dans une équipe de travail ?;En utilisant des termes génériques et neutres pour s'adresser à l'ensemble de l'équipe;En utilisant des expressions et des blagues spécifiques à certains groupes culturels;En évitant de discuter des différences culturelles;Proposition1
q18;Si vous remarquez qu'un collègue est régulièrement exclu des discussions d'équipe, que devriez-vous faire ?;Inviter activement ce collègue à participer et vérifier s'il a des idées ou des préoccupations;Informer votre supérieur sans intervenir directement;Ne rien faire, ce n'est pas votre problème;Proposition1
q19;Comment réagir si vous entendez une remarque discriminatoire au travail ?;Ignorer la remarque;Aborder la situation calmement et exprimer pourquoi la remarque est inappropriée;Réagir de manière agressive;Proposition2
q20;Pourquoi est-il important de célébrer les différentes cultures et origines au travail ?;Pour organiser des fêtes;Pour respecter les jours fériés de chacun;Pour valoriser la diversité et renforcer la cohésion d'équipe;Proposition3
q21;Combien y a-t-il de personnes reconnues en situation de handicap en France ?;2M;5M;12M;Proposition3
q22;Qu'est-ce qu'un TIH ?; Un Traitement Individuel du Handicap; Un Travailleur Indépendant Handicapé; Un Travailleur Individuel Handicapé;Proposition2
q23;Combien existe-t-il de catégories de handicap ?; 2 : handicaps visibles et invisibles; 7 : handicaps physiques, handicaps sensoriels, handicaps mentaux, handicaps cognitifs, handicaps psychiques, polyhandicaps, troubles de santé invalidants; 8 : surdité, mutisme, déficience visuelle, autisme, hyperactivité, dyspraxie, dyslexie, daltonisme;Proposition2
q24;Quel est le taux de chômage des personnes handicapées en France ?; 16,5%; 18%; Plus de 20%;Proposition2
q25;Selon vous, quelle est la proportion des personnes qui deviennent handicapées au cours de la vie par opposition aux personnes handicapées de naissance ?; 50%; 70%; 85%;Proposition3
